last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Renda, Tony,573113,113,CIN,2B,25,30,,28.5
Iglesias, Jose,578428,116,DET,SS,26,260,,28.5
Grichuk, Randal,545341,138,STL,CF,25,157,,28.5
Dahl, David,621311,115,COL,LF,22,99,,28.5
Bryant, Kris,592178,112,CHC,3B,24,246,,28.5
Pence, Hunter,452254,137,SF,RF,33,206,,28.5
Russell, Addison,608365,112,CHC,SS,22,222,,28.5
Hernandez, Gorkys,491676,137,SF,CF,29,19,,28.5
Williamson, Mac,607776,137,SF,RF,26,45,,28.5
Ahmed, Nick,605113,109,ARI,SS,26,134,,28.5
Robertson, Daniel,543706,136,SEA,LF,31,13,,28.5
Marte, Ketel,606466,136,SEA,SS,23,219,,28.4
Hicks, Aaron,543305,147,NYY,RF,27,144,,28.4
Semien, Marcus,543760,133,OAK,SS,26,208,,28.4
Rosario, Eddie,592696,142,MIN,LF,25,136,,28.4
Perez, Hernan,541650,158,MIL,3B,25,153,,28.4
Springer, George,543807,117,HOU,RF,27,253,,28.4
Marte, Jefry,527043,108,LAA,1B,25,108,,28.4
Altuve, Jose,514888,117,HOU,2B,26,293,,28.4
Jones, JaCoby,592444,116,DET,3B,24,13,,28.4
Culberson, Charlie,518586,119,LAD,2B,27,33,,28.4
Heredia, Guillermo,628338,136,SEA,LF,25,47,,28.4
Tapia, Raimel,606132,115,COL,CF,22,14,,28.4
Thompson, Trayce,572204,119,LAD,CF,25,109,,28.3
Duvall, Adam,594807,113,CIN,LF,28,186,,28.3
Bogaerts, Xander,593428,111,BOS,SS,24,321,,28.3
Goodwin, Brian,571718,120,WSH,RF,26,20,,28.3
Segura, Jean,516416,109,ARI,2B,26,341,,28.3
Fryer, Eric,518700,134,PIT,C,31,58,,28.3
Fowler, Dexter,451594,112,CHC,CF,30,214,,28.3
Bethancourt, Christian,542194,135,SD,C,25,79,,28.3
Freeman, Mike,502273,136,SEA,2B,29,11,,28.3
Bregman, Alex,608324,117,HOU,3B,22,67,,28.3
Szczur, Matt,519333,112,CHC,LF,27,81,,28.3
Eaton, Adam,594809,145,CWS,RF,28,340,,28.3
Naquin, Tyler,571980,114,CLE,CF,25,148,,28.3
Florimon, Pedro,465753,134,PIT,2B,30,10,,28.3
Almonte, Abraham,501659,114,CLE,RF,27,93,,28.2
Schebler, Scott,594988,113,CIN,RF,26,116,,28.2
Herrmann, Chris,543302,109,ARI,C,29,59,,28.2
Carrera, Ezequiel,485567,141,TOR,RF,29,152,,28.2
Blanco, Gregor,453923,137,SF,RF,33,104,,28.2
Hanson, Alen,593700,134,PIT,2B,24,15,,28.2
Holt, Brock,571788,111,BOS,LF,28,163,,28.2
Kelly, Ty,571841,121,NYM,3B,28,23,,28.2
Upton, B.J.,425834,141,TOR,LF,32,183,,28.2
Crisp, Coco,424825,114,CLE,LF,37,192,,28.2
Schimpf, Ryan,572114,135,SD,2B,28,89,,28.2
Contreras, Willson,575929,112,CHC,C,24,141,,28.2
Rickard, Joey,572073,110,BAL,RF,25,112,,28.2
Ortega, Rafael,542364,108,LAA,LF,25,106,,28.2
Puig, Yasiel,624577,119,LAD,RF,26,162,,28.1
Bourn, Michael,456422,110,BAL,CF,34,177,,28.1
Almora Jr., Albert,546991,112,CHC,CF,22,63,,28.1
Rendon, Anthony,543685,120,WSH,3B,26,230,,28.1
Pillar, Kevin,607680,141,TOR,CF,27,251,,28.1
Peralta, David,444482,109,ARI,RF,29,78,,28.1
Gregorius, Didi,544369,147,NYY,SS,26,248,,28.1
Rosales, Adam,489267,135,SD,3B,33,68,,28.1
Iribarren, Hernan,454975,113,CIN,CF,32,26,,28.1
Torreyes, Ronald,591720,147,NYY,3B,24,97,,28.1
Kepler, Max,596146,142,MIN,RF,23,184,,28.1
Cunningham, Todd,592239,108,LAA,LF,27,13,,28.1
Jackson, Austin,457706,145,CWS,CF,29,72,,28.1
Gamel, Ben,592325,136,SEA,RF,24,24,,28.1
Burriss, Emmanuel,502034,143,PHI,2B,31,18,,28.1
Fuentes, Rey,571681,118,KC,RF,25,26,,28.0
Tomlinson, Kelby,605509,137,SF,2B,26,57,,28.0
Heisey, Chris,502317,120,WSH,LF,32,42,,28.0
Correa, Carlos,621043,117,HOU,SS,22,241,,28.0
Rasmus, Colby,458675,117,HOU,LF,30,91,,28.0
Beckham, Tim,542921,139,TB,SS,26,80,,28.0
Mahtook, Mikie,543484,139,TB,CF,27,57,,28.0
Jones, Adam,430945,110,BAL,CF,31,250,,28.0
Buss, Nick,502544,108,LAA,LF,30,38,,28.0
Nunez, Eduardo,456488,137,SF,3B,29,271,,28.0
Villar, Jonathan,542340,158,MIL,SS,25,271,,28.0
Myers, Wil,571976,135,SD,1B,26,265,,28.0
Romine, Andrew,461865,116,DET,CF,31,93,,28.0
Aviles, Mike,449107,116,DET,RF,35,83,,28.0
Garcia, Leury,544725,145,CWS,CF,25,24,,28.0
Ozuna, Marcell,542303,146,MIA,CF,26,252,,28.0
Betts, Mookie,605141,111,BOS,RF,24,339,,27.9
Harrison, Josh,543281,134,PIT,2B,29,215,,27.9
Rua, Ryan,607387,140,TEX,LF,26,97,,27.9
Weeks, Jemile,457789,135,SD,2B,29,23,,27.9
Guyer, Brandon,446386,114,CLE,LF,30,141,,27.9
Arcia, Oswaldo,542455,135,SD,RF,25,67,,27.9
Eibner, Brett,518649,133,OAK,RF,28,84,,27.9
Barnes, Brandon,488681,115,COL,LF,30,45,,27.9
Ramirez, Jose,608070,114,CLE,3B,24,334,,27.9
Ellsbury, Jacoby,453056,147,NYY,CF,33,254,,27.9
Muncy, Max,571970,133,OAK,2B,26,50,,27.9
Reimold, Nolan,460099,110,BAL,LF,33,78,,27.9
Span, Denard,452655,137,SF,CF,32,295,,27.9
Martinez, Michael,492841,114,CLE,2B,34,46,,27.9
Duffy, Matt,622110,139,TB,3B,25,162,,27.9
Gillespie, Cole,502261,146,MIA,LF,32,17,,27.9
Inciarte, Ender,542255,144,ATL,CF,26,289,,27.9
Severino, Pedro,600474,120,WSH,C,23,19,,27.8
Reynolds, Matt,608703,121,NYM,SS,26,42,,27.8
Sanchez, Yolmer,570560,145,CWS,2B,24,57,,27.8
Parker, Jarrett,592620,137,SF,RF,27,54,,27.8
Suzuki, Ichiro,400085,146,MIA,RF,43,188,,27.8
Gose, Anthony,543238,116,DET,CF,26,35,,27.8
Sano, Miguel,593934,142,MIN,3B,23,122,,27.8
Aybar, Erick,430947,116,DET,SS,32,213,,27.8
Martinez, Jose,500874,138,STL,LF,28,11,,27.8
Collins, Tyler,607385,116,DET,CF,26,48,,27.8
Miller, Brad,543543,139,TB,SS,27,220,,27.8
Infante, Omar,408299,118,KC,2B,35,61,,27.8
Grossman, Robbie,543257,142,MIN,LF,27,131,,27.8
Frazier, Adam,624428,134,PIT,2B,25,72,,27.8
Giavotella, Johnny,543213,108,LAA,2B,29,167,,27.8
Dozier, Brian,572821,142,MIN,2B,29,219,,27.8
Santana, Danny,542454,142,MIN,CF,26,104,,27.7
Young, Chris,455759,111,BOS,LF,33,64,,27.7
Brentz, Bryce,518490,111,BOS,LF,28,32,,27.7
Smolinski, Jake,519295,133,OAK,CF,27,118,,27.7
Arcia, Orlando,606115,158,MIL,SS,22,97,,27.7
Blackmon, Charlie,453568,115,COL,CF,30,252,,27.7
Pagan, Angel,434636,137,SF,LF,35,223,,27.7
Heyward, Jason,518792,112,CHC,RF,27,259,,27.7
Forsythe, Logan,523253,139,TB,2B,29,180,,27.7
Kemp, Tony,643393,117,HOU,LF,25,44,,27.7
Dietrich, Derek,518618,146,MIA,2B,27,172,,27.7
Dickerson, Alex,543105,135,SD,LF,26,112,,27.7
Cardullo, Stephen,506924,115,COL,1B,29,17,,27.7
Espinosa, Danny,457787,120,WSH,SS,29,151,,27.7
Blash, Jabari,518466,135,SD,RF,27,26,,27.7
Odor, Rougned,596059,140,TEX,2B,22,238,,27.7
Lough, David,518953,143,PHI,LF,30,31,,27.7
Garcia, Greg,594824,138,STL,SS,27,109,,27.7
Campbell, Eric,493472,121,NYM,1B,29,28,,27.7
Weeks Jr., Rickie,430001,109,ARI,LF,34,72,,27.7
Hechavarria, Adeiny,588751,146,MIA,SS,27,232,,27.6
Pinder, Chad,640461,133,OAK,2B,24,25,,27.6
Reyes, Jose,408314,121,NYM,3B,33,103,,27.6
Jennings, Desmond,457775,139,TB,LF,30,79,,27.6
Rivera, T.J.,608061,121,NYM,2B,28,53,,27.6
Swihart, Blake,596119,111,BOS,LF,24,25,,27.6
Alberto, Hanser,593643,140,TEX,SS,24,23,,27.6
De Aza, Alejandro,457477,121,NYM,CF,32,76,,27.6
Mercer, Jordy,474568,134,PIT,SS,30,248,,27.6
Cowart, Kaleb,592230,108,LAA,2B,24,35,,27.6
Galvis, Freddy,520471,143,PHI,SS,27,216,,27.6
Crawford, Carl,408307,119,LAD,LF,35,51,,27.5
Sardinas, Luis,596143,135,SD,SS,23,74,,27.5
Wong, Kolten,543939,138,STL,2B,26,138,,27.5
Escobar, Eduardo,500871,142,MIN,SS,27,137,,27.5
Schoop, Jonathan,570731,110,BAL,2B,25,265,,27.5
Escobar, Alcides,444876,118,KC,SS,30,306,,27.5
Coats, Jason,605183,145,CWS,RF,26,31,,27.5
Stanton, Giancarlo,519317,146,MIA,RF,27,133,,27.5
Andrus, Elvis,462101,140,TEX,SS,28,281,,27.4
Suarez, Eugenio,553993,113,CIN,3B,25,204,,27.4
Nunez, Renato,600524,133,OAK,DH,22,10,,27.4
Barney, Darwin,446381,141,TOR,2B,31,130,,27.4
Soler, Jorge,624585,112,CHC,LF,24,88,,27.4
Bradley Jr., Jackie,598265,111,BOS,CF,26,254,,27.4
Castro, Starlin,516770,147,NYY,2B,26,262,,27.4
Middlebrooks, Will,519025,158,MIL,3B,28,10,,27.4
Amarista, Alexi,506560,135,SD,2B,27,52,,27.4
Norris, Derek,519083,135,SD,C,27,120,,27.4
Ackley, Dustin,554429,147,NYY,1B,28,26,,27.4
McBride, Matt,473724,133,OAK,C,31,14,,27.4
Upton, Justin,457708,116,DET,LF,29,183,,27.4
Longoria, Evan,446334,139,TB,3B,31,230,,27.4
Martin, Leonys,547982,136,SEA,CF,28,168,,27.4
Utley, Chase,400284,119,LAD,2B,38,216,,27.4
Dickerson, Corey,572816,139,TB,LF,27,185,,27.4
Refsnyder, Rob,608701,147,NYY,1B,25,85,,27.4
Braun, Ryan,460075,158,MIL,LF,33,269,,27.4
Goldschmidt, Paul,502671,109,ARI,1B,29,234,,27.3
Gurriel, Yuli,493329,117,HOU,3B,32,59,,27.3
Herrera, Odubel,546318,143,PHI,CF,25,240,,27.3
Reddick, Josh,502210,119,LAD,RF,29,175,,27.3
Polanco, Gregory,570256,134,PIT,RF,25,191,,27.3
Schafer, Logan,502582,142,MIN,LF,30,24,,27.3
Motter, Taylor,600301,139,TB,SS,27,35,,27.3
Kipnis, Jason,543401,114,CLE,2B,29,245,,27.3
Rogers, Jason,595386,134,PIT,1B,28,12,,27.3
Revere, Ben,519184,120,WSH,CF,28,199,,27.3
Hill, Aaron,431094,111,BOS,3B,34,142,,27.3
Zobrist, Ben,450314,112,CHC,2B,35,291,,27.3
Flores, Ramon,570717,158,MIL,RF,24,115,,27.3
Rondon, Jose,602922,135,SD,SS,22,13,,27.3
Granderson, Curtis,434158,121,NYM,RF,35,181,,27.3
Drury, Brandon,592273,109,ARI,LF,24,206,,27.3
Adames, Cristhian,542436,115,COL,SS,25,120,,27.3
Austin, Tyler,592122,147,NYY,1B,25,27,,27.3
Harper, Bryce,547180,120,WSH,RF,24,206,,27.2
Piscotty, Stephen,572039,138,STL,RF,25,258,,27.2
Conforto, Michael,624424,121,NYM,LF,23,106,,27.2
Travis, Devon,581527,141,TOR,2B,25,182,,27.2
Aoki, Norichika,493114,136,SEA,LF,34,245,,27.2
Bell, Josh,605137,134,PIT,1B,24,68,,27.2
Kelly, Don,430603,146,MIA,1B,36,14,,27.2
Gattis, Evan,594828,117,HOU,DH,30,158,,27.2
Van Slyke, Scott,475100,119,LAD,RF,30,34,,27.2
Paredes, Jimmy,517370,143,PHI,RF,28,72,,27.2
Lamb, Jake,571875,109,ARI,3B,26,239,,27.2
Tucker, Preston,605512,117,HOU,DH,26,47,,27.2
O'Brien, Peter,598284,109,ARI,LF,26,24,,27.2
Wolters, Tony,547172,115,COL,C,24,98,,27.1
Cespedes, Yoenis,493316,121,NYM,LF,31,154,,27.1
LeMahieu, DJ,518934,115,COL,2B,28,292,,27.1
Renfroe, Hunter,592669,135,SD,RF,24,17,,27.1
Santana, Domingo,570267,158,MIL,RF,24,94,,27.1
Green, Grant,502205,137,SF,2B,29,20,,27.1
Asuaje, Carlos,641319,135,SD,2B,25,12,,27.1
Lindor, Francisco,596019,114,CLE,SS,23,321,,27.1
Simmons, Andrelton,592743,108,LAA,SS,27,255,,27.1
Nieuwenhuis, Kirk,543590,158,MIL,CF,29,122,,27.1
Beresford, James,503437,142,MIN,1B,27,16,,27.1
d'Arnaud, Travis,518595,121,NYM,C,27,111,,27.1
Donaldson, Josh,518626,141,TOR,3B,31,237,,27.1
Davis, Khris,501981,133,OAK,LF,29,190,,27.1
Elmore, Jake,518653,158,MIL,LF,29,42,,27.1
Zimmerman, Ryan,475582,120,WSH,1B,32,181,,27.1
Martinez, J.D.,502110,116,DET,RF,29,176,,27.0
Hernandez, Enrique,571771,119,LAD,LF,25,84,,27.0
Gonzalez, Carlos,471865,115,COL,RF,31,264,,27.0
Rodriguez, Sean,446481,134,PIT,2B,31,106,,27.0
Valencia, Danny,502143,133,OAK,3B,32,172,,27.0
Maile, Luke,571912,139,TB,C,25,50,,27.0
Murphy, Tom,608596,115,COL,C,25,10,,27.0
Franklin, Nick,545338,139,TB,LF,25,52,,27.0
Tomas, Yasmany,630111,109,ARI,RF,26,206,,27.0
Rojas, Miguel,500743,146,MIA,SS,27,112,,27.0
Trumbo, Mark,444432,110,BAL,RF,30,202,,27.0
den Dekker, Matthew,544925,120,WSH,CF,29,10,,27.0
Goins, Ryan,572365,141,TOR,2B,28,81,,27.0
Freese, David,501896,134,PIT,3B,33,201,,26.9
Johnson, Kelly,430637,121,NYM,2B,34,124,,26.9
Pena, Ramiro,455369,137,SF,2B,31,36,,26.9
Chisenhall, Lonnie,502082,114,CLE,RF,28,178,,26.9
Saunders, Michael,459431,141,TOR,LF,30,192,,26.9
Mazara, Nomar,608577,140,TEX,RF,21,231,,26.9
Asche, Cody,605125,143,PHI,LF,26,81,,26.9
White, Tyler,643603,117,HOU,1B,26,94,,26.9
Descalso, Daniel,518614,115,COL,SS,30,114,,26.9
Rollins, Jimmy,276519,145,CWS,SS,38,75,,26.9
Castellanos, Nicholas,592206,116,DET,3B,24,152,,26.9
Segedin, Rob,574847,119,LAD,3B,28,31,,26.8
Morrison, Logan,489149,139,TB,1B,29,139,,26.8
Ramirez, Hanley,434670,111,BOS,1B,33,239,,26.8
Paulsen, Ben,572019,115,COL,1B,29,38,,26.8
Raburn, Ryan,430605,115,COL,LF,35,83,,26.8
Kinsler, Ian,435079,116,DET,2B,34,230,,26.8
Barnes, Austin,605131,119,LAD,C,27,11,,26.8
Solano, Donovan,456781,147,NYY,2B,29,13,,26.8
Byrd, Marlon,407781,114,CLE,RF,39,31,,26.8
Bruce, Jay,457803,121,NYM,RF,29,213,,26.8
Recker, Anthony,489232,144,ATL,C,33,33,,26.8
Pennington, Cliff,460060,108,LAA,2B,32,58,,26.8
Kendrick, Howie,435062,119,LAD,LF,33,269,,26.7
McCann, James,543510,116,DET,C,26,111,,26.7
Garneau, Dustin,572863,115,COL,C,29,24,,26.7
Flaherty, Ryan,475247,110,BAL,3B,30,68,,26.7
Murphy, John Ryan,571974,142,MIN,C,25,27,,26.7
Crawford, Brandon,543063,137,SF,SS,29,234,,26.7
Brown, Trevor,623143,137,SF,C,25,70,,26.7
Castro, Daniel,593495,144,ATL,SS,24,60,,26.7
Prado, Martin,445988,146,MIA,3B,33,306,,26.7
Park, ByungHo,666560,142,MIN,DH,30,68,,26.7
Snyder, Brandon,474319,144,ATL,3B,30,19,,26.7
Patterson, Jordan,641958,115,COL,1B,24,10,,26.6
Carter, Chris,474892,158,MIL,1B,30,149,,26.6
Cuthbert, Cheslor,596144,118,KC,3B,24,217,,26.6
Pearce, Steve,456665,110,BAL,1B,33,102,,26.6
Seager, Corey,608369,119,LAD,SS,22,305,,26.6
Shaffer, Richie,572128,139,TB,1B,25,26,,26.6
Gomes, Yan,543228,114,CLE,C,29,92,,26.6
Carpenter, Matt,572761,138,STL,3B,31,157,,26.6
Mesoraco, Devin,519023,113,CIN,C,28,21,,26.6
Adrianza, Ehire,501303,137,SF,SS,27,26,,26.6
Ramirez, Alexei,493351,139,TB,SS,35,244,,26.6
Castro, Jason,488771,117,HOU,C,29,110,,26.6
La Stella, Tommy,600303,112,CHC,3B,27,66,,26.6
Pedroia, Dustin,456030,111,BOS,2B,33,320,,26.5
Worth, Danny,519445,117,HOU,2B,31,19,,26.5
Davis, Chris,448801,110,BAL,1B,30,181,,26.5
Murphy, Daniel,502517,120,WSH,2B,31,226,,26.5
Joseph, Caleb,543376,110,BAL,C,30,47,,26.5
Gonzalez, Marwin,503556,117,HOU,1B,27,180,,26.5
Pederson, Joc,592626,119,LAD,CF,24,154,,26.5
Perez, Carlos,542208,108,LAA,C,26,104,,26.5
Panik, Joe,605412,137,SF,2B,26,210,,26.5
Moya, Steven,570615,116,DET,RF,25,25,,26.5
Healy, Ryon,592387,133,OAK,3B,24,107,,26.4
Kim, Hyun Soo,547957,110,BAL,LF,28,151,,26.4
Parra, Gerardo,467827,115,COL,LF,29,192,,26.4
Mauer, Joe,408045,142,MIN,1B,33,249,,26.4
Zunino, Mike,572287,136,SEA,C,25,44,,26.4
Blanco, Andres,433217,143,PHI,3B,32,99,,26.4
Plawecki, Kevin,608700,121,NYM,C,25,65,,26.4
Olivera, Hector,493343,144,ATL,LF,31,12,,26.4
Freeman, Freddie,518692,144,ATL,1B,27,188,,26.4
Garcia, Adonis,611177,144,ATL,3B,31,245,,26.4
McGehee, Casey,431171,116,DET,3B,34,44,,26.3
Drew, Stephen,452220,120,WSH,2B,33,48,,26.3
Phegley, Josh,572033,133,OAK,C,28,27,,26.3
Belt, Brandon,474832,137,SF,1B,28,167,,26.3
Vazquez, Christian,543877,111,BOS,C,26,89,,26.3
Romine, Austin,519222,147,NYY,C,28,80,,26.3
Walsh, Colin,595023,158,MIL,3B,27,16,,26.3
Jay, Jon,445055,135,SD,CF,31,179,,26.3
Profar, Jurickson,595777,140,TEX,2B,23,122,,26.3
Arenado, Nolan,571448,115,COL,3B,25,237,,26.3
Petit, Gregorio,463610,108,LAA,SS,32,103,,26.3
Coghlan, Chris,458085,112,CHC,LF,31,114,,26.3
Pacheco, Jordan,457574,113,CIN,3B,30,20,,26.2
Walker, Neil,435522,121,NYM,2B,31,125,,26.2
Sanchez, Gary,596142,147,NYY,C,24,86,,26.2
Janish, Paul,457926,110,BAL,3B,34,12,,26.2
Hosmer, Eric,543333,118,KC,1B,27,280,,26.2
Francoeur, Jeff,425796,146,MIA,LF,32,114,,26.2
Gordon, Alex,460086,118,KC,LF,32,150,,26.2
Johnson, Chris,453400,146,MIA,1B,32,80,,26.2
Moss, Brandon,461235,138,STL,LF,33,102,,26.2
Frazier, Todd,453943,145,CWS,3B,30,180,,26.2
Smith, Seth,452234,136,SEA,RF,34,154,,26.2
Peralta, Jhonny,425509,138,STL,3B,34,118,,26.2
Plouffe, Trevor,461858,142,MIN,3B,30,129,,26.2
Turner, Justin,457759,119,LAD,3B,32,243,,26.2
Shaw, Travis,543768,111,BOS,3B,26,161,,26.2
Machado, Manny,592518,110,BAL,3B,24,246,,26.1
Cruz, Nelson,443558,136,SEA,DH,36,220,,26.1
Scruggs, Xavier,489305,146,MIA,1B,29,23,,26.1
Beckham, Gordon,493596,137,SF,2B,30,104,,26.1
Pena, Francisco,506747,110,BAL,C,27,12,,26.1
Rosario, Alberto,451705,138,STL,C,29,22,,26.1
Waldrop, Kyle,592835,113,CIN,DH,25,10,,26.1
Selsky, Steve,592731,113,CIN,RF,27,17,,26.1
Hardy, J.J.,429666,110,BAL,SS,34,196,,26.1
Cron, C.J.,543068,108,LAA,1B,26,157,,26.1
Calhoun, Kole,594777,108,LAA,RF,29,236,,26.0
Vogt, Stephen,519390,133,OAK,C,32,164,,26.0
Robinson, Clint,519208,120,WSH,1B,31,75,,26.0
Phillips, Brandon,408252,113,CIN,2B,35,282,,26.0
Franco, Maikel,596748,143,PHI,3B,24,239,,26.0
Andino, Robert,435180,146,MIA,2B,32,11,,26.0
Joyce, Matt,459964,134,PIT,RF,32,90,,26.0
Centeno, Juan,518542,142,MIN,C,27,88,,26.0
Colon, Christian,518568,118,KC,2B,27,74,,26.0
Ruf, Darin,573131,143,PHI,LF,30,30,,26.0
Beltre, Adrian,134181,140,TEX,3B,37,241,,25.9
Perez, Salvador,521692,118,KC,C,26,166,,25.9
De Jesus Jr., Ivan,474443,113,CIN,SS,29,93,,25.9
Holliday, Matt,407812,138,STL,LF,36,169,,25.9
Rizzo, Anthony,519203,112,CHC,1B,27,236,,25.9
Soto, Geovany,434567,108,LAA,C,33,29,,25.9
Santana, Carlos,467793,114,CLE,DH,30,268,,25.9
Ruiz, Carlos,434563,119,LAD,C,37,80,,25.9
Hanigan, Ryan,452672,111,BOS,C,36,44,,25.9
Cozart, Zack,446359,113,CIN,SS,31,185,,25.9
Choi, Ji-Man,596847,108,LAA,1B,25,51,,25.9
Werth, Jayson,150029,120,WSH,LF,37,194,,25.8
Holaday, Bryan,592407,111,BOS,C,29,42,,25.8
Headley, Chase,452104,147,NYY,3B,32,181,,25.8
Cervelli, Francisco,465041,134,PIT,C,30,158,,25.8
Beltran, Carlos,136860,140,TEX,DH,39,217,,25.7
Nava, Daniel,537953,118,KC,LF,33,46,,25.7
Hundley, Nick,460026,115,COL,C,33,121,,25.7
Kang, Jung Ho,628356,134,PIT,3B,29,114,,25.7
Chirinos, Robinson,455139,140,TEX,C,32,58,,25.7
Ethier, Andre,444843,119,LAD,LF,34,12,,25.7
Judge, Aaron,592450,147,NYY,RF,24,21,,25.7
Valbuena, Luis,472528,117,HOU,3B,31,92,,25.7
Escobar, Yunel,488862,108,LAA,3B,34,290,,25.6
Abreu, Jose,547989,145,CWS,1B,29,277,,25.6
Moreland, Mitch,519048,140,TEX,1B,31,157,,25.6
Butera, Drew,460077,118,KC,C,33,52,,25.6
Seager, Kyle,572122,136,SEA,3B,29,210,,25.6
Cabrera, Melky,466320,145,CWS,LF,32,267,,25.6
Saltalamacchia, Jarrod,457454,116,DET,C,31,60,,25.6
Lucroy, Jonathan,518960,140,TEX,C,30,195,,25.6
Uribe, Juan,346874,114,CLE,3B,37,89,,25.5
Markakis, Nick,455976,144,ATL,RF,33,250,,25.5
